EST_DATE,Total_ASSETS,IDRSSD,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Tract_Code,Tract Income Level,Underserved or Distressed Tract,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Family Income,Tract Median Family Income %,Tract Population,Tract Minority %,Tract Minority Population,Owner-Occupied Units,1 to 4 Family Units,Tract Income Level,2010 MSA/MD/statewide non-MSA/MD Median Family Income,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,% below Poverty Line,Tract Median Family Income %,2010 Tract Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Household Income,Tract Population,Tract Minority %,Number of Families,Number of Households,Non-Hispanic White Population,Tract Minority Population,American Indian Population,Asian/Hawaiian/Pacific Islander Population,Black Population,Hispanic Population,Other/Two or More Races Population
20030918,1286432,3212402,PACIFIC CITY BANK,"3701 WILSHIRE BOULEVARD, SUITE 100",LOS ANGELES,CA,90010,2118.02,Moderate,No,$64300,$39146,$38179,60.88,4213,87.35,3680,216,16,Moderate,$62703,$64300,20.03,60.88,$38179,$39146,$35154,4213,87.35,891,2174,533,3680,75,2046,193,1264,102
20021010,535159,3143805,PACIFIC COMMERCE BANK,"420 EAST THIRD STREET, SUITE 100",LOS ANGELES,CA,90013,2062.00,Low,No,$64300,$27778,$27092,43.20,3294,87.67,2888,360,70,Low,$62703,$64300,45.24,43.20,$27092,$27778,$17750,3294,87.67,413,1949,406,2888,0,1373,626,786,103
19911223,3414743,1918344,PREFERRED BANK,"601 SOUTH FIGUEROA STREET, 29TH FLOOR",LOS ANGELES,CA,90017,2077.10,Unknown,No,$64300,$0,$0,0.00,3197,53.46,1709,285,61,Unknown,$62703,$64300,27.48,0.00,$0,$0,$57801,3197,53.46,404,2153,1488,1709,0,922,214,550,23
20081118,1502567,3835454,ROYAL BUSINESS BANK,"660 SOUTH FIGUEROA, SUITE 1888",LOS ANGELES,CA,90017,2077.10,Unknown,No,$64300,$0,$0,0.00,3197,53.46,1709,285,61,Unknown,$62703,$64300,27.48,0.00,$0,$0,$57801,3197,53.46,404,2153,1488,1709,0,922,214,550,23
19820903,636287,779968,STATE BANK OF INDIA (CALIFORNIA),"707 WILSHIRE BOULEVARD, SUITE 2900",LOS ANGELES,CA,90017,2077.10,Unknown,No,$64300,$0,$0,0.00,3197,53.46,1709,285,61,Unknown,$62703,$64300,27.48,0.00,$0,$0,$57801,3197,53.46,404,2153,1488,1709,0,922,214,550,23
19820511,125027,609467,UNITED PACIFIC BANK,1630 SOUTH AZUSA AVENUE,CITY OF INDUSTRY,CA,91748,4082.11,Moderate,No,$64300,$46598,$45441,72.47,5955,89.66,5339,870,1364,Moderate,$62703,$64300,20.86,72.47,$45441,$46598,$41121,5955,89.66,1290,1767,616,5339,0,3042,23,2226,48
20011217,282939,3076284,UNITI BANK,"6301 BEACH BOULEVARD, SUITE 100",BUENA PARK,CA,90621,1106.03,Moderate,No,$88000,$54789,$53548,62.26,9194,83.69,7694,433,946,Moderate,$86003,$88000,19.55,62.26,$53548,$54789,$52106,9194,83.69,2208,2458,1500,7694,0,1397,1067,5175,55
19541117,348822,208570,UNIVERSAL BANK,"3455 NOGALES STREET, 2ND FLOOR",WEST COVINA,CA,91792,4081.35,Middle,No,$64300,$70794,$69041,110.10,3925,93.78,3681,712,1223,Middle,$62703,$64300,11.94,110.10,$69041,$70794,$66696,3925,93.78,942,1197,244,3681,0,2022,421,1207,31
20060915,222452,3470154,US METRO BANK,9866 GARDEN GROVE BOULEVARD,GARDEN GROVE,CA,92844,0887.02,Moderate,No,$88000,$51885,$50714,58.96,6151,88.44,5440,823,1485,Moderate,$86003,$88000,20.39,58.96,$50714,$51885,$54031,6151,88.44,1332,1507,711,5440,0,3567,6,1799,68
19910111,336953,1852569,"ANZ GUAM, INC.","424 WEST O'BRIEN DRIVE, SUITE 112",HAGATNA,GU,96910,9534.00,Middle,Yes,$56300,$45609,$41000,81.01,1051,,,,,Middle,$50607,$56300,,81.01,$41000,$45609,$37083,1051,,192,286,,,,,,,
19721211,1903249,711472,BANK OF GUAM,111 WEST CHALAN SANTO PAPA,HAGATNA,GU,96910,9534.00,Middle,Yes,$56300,$45609,$41000,81.01,1051,,,,,Middle,$50607,$56300,,81.01,$41000,$45609,$37083,1051,,192,286,,,,,,,
19530101,141257,364270,"BANKPACIFIC, LTD.",151 ASPINALL AVENUE,HAGATNA,GU,96910,9534.00,Middle,Yes,$56300,$45609,$41000,81.01,1051,,,,,Middle,$50607,$56300,,81.01,$41000,$45609,$37083,1051,,192,286,,,,,,,
19520514,568723,827560,"FINANCE FACTORS, LIMITED","1164 BISHOP STREET, SUITE 300",HONOLULU,HI,96813,0040.00,Upper,No,$86600,$117811,$117500,136.04,1305,57.01,744,226,26,Upper,$86366,$86600,18.23,136.04,$117500,$117811,$65792,1305,57.01,270,679,561,744,0,442,96,76,130
19600916,665951,915065,HAWAII NATIONAL BANK,45 NORTH KING STREET,HONOLULU,HI,96817,0052.00,Low,No,$86600,$34094,$34009,39.37,2903,95.32,2767,0,57,Low,$86366,$86600,23.42,39.37,$34009,$34094,$27083,2903,95.32,706,1403,136,2767,0,2386,174,61,146
20060601,136357,3447772,OHANA PACIFIC BANK,"1357 KAPIOLANI BOULEVARD, SUITE 102",HONOLULU,HI,96814,0037.00,Upper,No,$86600,$105262,$104981,121.55,5828,69.20,4033,1728,138,Upper,$86366,$86600,6.90,121.55,$104981,$105262,$84286,5828,69.20,1497,2930,1795,4033,11,3341,8,163,510
20060725,60539,3346633,EAGLE BANK,80 HERITAGE LANE,POLSON,MT,59860,9403.01,Middle,Yes,$60500,$52895,$52426,87.43,5177,29.32,1518,1638,3202,Middle,$59958,$60500,22.87,87.43,$52426,$52895,$35417,5177,29.32,1431,2400,3659,1518,1093,27,0,170,228
20060607,69677,3447875,PLAZA BANK,"520 PIKE STREET, SUITE 2750",SEATTLE,WA,98101,0082.00,Upper,No,$96000,$126806,$121942,132.09,3866,35.95,1390,351,85,Upper,$92317,$96000,17.60,132.09,$121942,$126806,$56318,3866,35.95,591,2557,2476,1390,0,710,284,271,125
20061101,250176,3487947,UNIBANK,19315 HIGHWAY 99,LYNNWOOD,WA,98036,0517.01,Moderate,No,$96000,$52435,$50429,54.62,6192,53.31,3301,1069,1347,Moderate,$92317,$96000,15.28,54.62,$50429,$52435,$43433,6192,53.31,1298,2463,2891,3301,4,1664,585,744,304
